inst01 5 3 0.90 5 580 127000 52
inst02 10 5 0.90 5 799 323971 239
inst03 20 8 0.90 5 1346 647457 1103
inst04 40 12 0.90 5 2127 1293843 6664
inst05 70 18 0.90 5 3012 2260564 59512
inst06 120 25 0.90 5 5009 3871316 456971
